dataset,size,seed,brute_weight,exact_weight,weights_match,brute_cardinality,exact_cardinality,brute_checked_subsets,brute_selected_indices,exact_selected_indices
A,10,0,1.0,1.0,True,1,1,1024,"(0,)","(1,)"
A,10,1,1.0,1.0,True,1,1,1024,"(0,)","(1,)"
A,10,2,1.0,1.0,True,1,1,1024,"(0,)","(1,)"
A,10,3,1.0,1.0,True,1,1,1024,"(0,)","(0,)"
A,10,4,1.0,1.0,True,1,1,1024,"(0,)","(1,)"
B,10,0,6.0,6.0,True,3,3,1024,"(0, 1, 2)","(0, 1, 2)"
B,10,1,6.0,6.0,True,3,3,1024,"(0, 1, 2)","(0, 1, 2)"
B,10,2,6.0,6.0,True,3,3,1024,"(0, 1, 2)","(0, 1, 2)"
B,10,3,6.0,6.0,True,3,3,1024,"(0, 1, 2)","(0, 1, 2)"
B,10,4,6.0,6.0,True,3,3,1024,"(0, 1, 2)","(0, 1, 2)"
C,10,0,2.0,2.0,True,1,1,1024,"(3,)","(3,)"
C,10,1,2.0,2.0,True,1,1,1024,"(3,)","(3,)"
C,10,2,2.0,2.0,True,1,1,1024,"(3,)","(3,)"
C,10,3,2.0,2.0,True,1,1,1024,"(3,)","(3,)"
C,10,4,2.0,2.0,True,1,1,1024,"(3,)","(3,)"
