analysis_type,dataset,target,feature,method,value,note
correlation,A,greedy_runtime_sec,num_constraints,pearson,0.9371962610872248,
correlation,A,greedy_runtime_sec,num_constraints,spearman,0.9308526460535343,
correlation,A,greedy_runtime_sec,conflict_density,pearson,-0.6194638178575048,
correlation,A,greedy_runtime_sec,conflict_density,spearman,-0.9308526460535343,
correlation,A,greedy_runtime_sec,overlap_measure,pearson,,
correlation,A,greedy_runtime_sec,overlap_measure,spearman,,
correlation,A,greedy_runtime_sec,avg_discovered_mus_size,pearson,,
correlation,A,greedy_runtime_sec,avg_discovered_mus_size,spearman,,
correlation,A,greedy_runtime_sec,weight_mean,pearson,0.36761305562042396,
correlation,A,greedy_runtime_sec,weight_mean,spearman,0.580633636398565,
correlation,A,greedy_runtime_sec,weight_variance,pearson,0.009177833376221954,
correlation,A,greedy_runtime_sec,weight_variance,spearman,-0.04286469142614338,
correlation,A,exact_runtime_sec,num_constraints,pearson,0.9979326108449925,
correlation,A,exact_runtime_sec,num_constraints,spearman,0.9656400368833968,
correlation,A,exact_runtime_sec,conflict_density,pearson,-0.7327691988954187,
correlation,A,exact_runtime_sec,conflict_density,spearman,-0.9656400368833968,
correlation,A,exact_runtime_sec,overlap_measure,pearson,,
correlation,A,exact_runtime_sec,overlap_measure,spearman,,
correlation,A,exact_runtime_sec,avg_discovered_mus_size,pearson,,
correlation,A,exact_runtime_sec,avg_discovered_mus_size,spearman,,
correlation,A,exact_runtime_sec,weight_mean,pearson,0.41572018791199844,
correlation,A,exact_runtime_sec,weight_mean,spearman,0.6146878825601193,
correlation,A,exact_runtime_sec,weight_variance,pearson,-0.08581587174935143,
correlation,A,exact_runtime_sec,weight_variance,spearman,-0.08661803011982533,
correlation,A,num_discovered_muses,num_constraints,pearson,,
correlation,A,num_discovered_muses,num_constraints,spearman,,
correlation,A,num_discovered_muses,conflict_density,pearson,,
correlation,A,num_discovered_muses,conflict_density,spearman,,
correlation,A,num_discovered_muses,overlap_measure,pearson,,
correlation,A,num_discovered_muses,overlap_measure,spearman,,
correlation,A,num_discovered_muses,avg_discovered_mus_size,pearson,,
correlation,A,num_discovered_muses,avg_discovered_mus_size,spearman,,
correlation,A,num_discovered_muses,weight_mean,pearson,,
correlation,A,num_discovered_muses,weight_mean,spearman,,
correlation,A,num_discovered_muses,weight_variance,pearson,,
correlation,A,num_discovered_muses,weight_variance,spearman,,
correlation,A,greedy_iterations,num_constraints,pearson,,
correlation,A,greedy_iterations,num_constraints,spearman,,
correlation,A,greedy_iterations,conflict_density,pearson,,
correlation,A,greedy_iterations,conflict_density,spearman,,
correlation,A,greedy_iterations,overlap_measure,pearson,,
correlation,A,greedy_iterations,overlap_measure,spearman,,
correlation,A,greedy_iterations,avg_discovered_mus_size,pearson,,
correlation,A,greedy_iterations,avg_discovered_mus_size,spearman,,
correlation,A,greedy_iterations,weight_mean,pearson,,
correlation,A,greedy_iterations,weight_mean,spearman,,
correlation,A,greedy_iterations,weight_variance,pearson,,
correlation,A,greedy_iterations,weight_variance,spearman,,
correlation,A,weight_variance,num_constraints,pearson,-0.10616170554024254,
correlation,A,weight_variance,num_constraints,spearman,-0.11713083093515939,
correlation,A,weight_variance,conflict_density,pearson,0.09246085241549766,
correlation,A,weight_variance,conflict_density,spearman,0.11713083093515939,
correlation,A,weight_variance,overlap_measure,pearson,,
correlation,A,weight_variance,overlap_measure,spearman,,
correlation,A,weight_variance,avg_discovered_mus_size,pearson,,
correlation,A,weight_variance,avg_discovered_mus_size,spearman,,
correlation,A,weight_variance,weight_mean,pearson,0.016221957030262735,
correlation,A,weight_variance,weight_mean,spearman,-0.025277647342432045,
log_log_slope,A,greedy_runtime_sec,num_constraints,log-log linear fit,0.7747514854608815,Slope of log runtime against log number of constraints.
log_log_slope,A,exact_runtime_sec,num_constraints,log-log linear fit,0.8348437713621693,Slope of log runtime against log number of constraints.
log_log_slope,A,num_discovered_muses,num_constraints,log-log linear fit,0.0,Slope of log structural count against log number of constraints.
log_log_slope,A,greedy_iterations,num_constraints,log-log linear fit,0.0,Slope of log structural count against log number of constraints.
constant_ratio_check,A,approximation_ratio,all_features,variance check,0.0,"Approximation ratio has zero variance, so ratio correlations are not meaningful."
correlation,B,greedy_runtime_sec,num_constraints,pearson,0.9992971405158141,
correlation,B,greedy_runtime_sec,num_constraints,spearman,0.9798448905826677,
correlation,B,greedy_runtime_sec,conflict_density,pearson,-0.7313409767950398,
correlation,B,greedy_runtime_sec,conflict_density,spearman,-0.9798448905826677,
correlation,B,greedy_runtime_sec,overlap_measure,pearson,,
correlation,B,greedy_runtime_sec,overlap_measure,spearman,,
correlation,B,greedy_runtime_sec,avg_discovered_mus_size,pearson,,
correlation,B,greedy_runtime_sec,avg_discovered_mus_size,spearman,,
correlation,B,greedy_runtime_sec,weight_mean,pearson,-0.45711683507535833,
correlation,B,greedy_runtime_sec,weight_mean,spearman,-0.47901797680113156,
correlation,B,greedy_runtime_sec,weight_variance,pearson,-0.5946173029784221,
correlation,B,greedy_runtime_sec,weight_variance,spearman,-0.7864368198207479,
correlation,B,exact_runtime_sec,num_constraints,pearson,0.9998322594609038,
correlation,B,exact_runtime_sec,num_constraints,spearman,0.9798448905826677,
correlation,B,exact_runtime_sec,conflict_density,pearson,-0.7410288278594143,
correlation,B,exact_runtime_sec,conflict_density,spearman,-0.9798448905826677,
correlation,B,exact_runtime_sec,overlap_measure,pearson,,
correlation,B,exact_runtime_sec,overlap_measure,spearman,,
correlation,B,exact_runtime_sec,avg_discovered_mus_size,pearson,,
correlation,B,exact_runtime_sec,avg_discovered_mus_size,spearman,,
correlation,B,exact_runtime_sec,weight_mean,pearson,-0.46690952970431354,
correlation,B,exact_runtime_sec,weight_mean,spearman,-0.4851414012943472,
correlation,B,exact_runtime_sec,weight_variance,pearson,-0.6020515145389834,
correlation,B,exact_runtime_sec,weight_variance,spearman,-0.7946767562809202,
correlation,B,num_discovered_muses,num_constraints,pearson,,
correlation,B,num_discovered_muses,num_constraints,spearman,,
correlation,B,num_discovered_muses,conflict_density,pearson,,
correlation,B,num_discovered_muses,conflict_density,spearman,,
correlation,B,num_discovered_muses,overlap_measure,pearson,,
correlation,B,num_discovered_muses,overlap_measure,spearman,,
